Intermediate Tensor Shapes:
Tensor: /model.0/conv/Conv_output_0, Shape: [1, 16, 112, 112]
Tensor: /model.0/act/Sigmoid_output_0, Shape: [1, 16, 112, 112]
Tensor: /model.0/act/Mul_output_0, Shape: [1, 16, 112, 112]
Tensor: /model.1/conv/Conv_output_0, Shape: [1, 32, 56, 56]
Tensor: /model.1/act/Sigmoid_output_0, Shape: [1, 32, 56, 56]
Tensor: /model.1/act/Mul_output_0, Shape: [1, 32, 56, 56]
Tensor: /model.2/cv1/conv/Conv_output_0, Shape: [1, 32, 56, 56]
Tensor: /model.2/cv1/act/Sigmoid_output_0, Shape: [1, 32, 56, 56]
Tensor: /model.2/cv1/act/Mul_output_0, Shape: [1, 32, 56, 56]
Tensor: /model.2/Split_output_0, Shape: [1, 16, 56, 56]
Tensor: /model.2/Split_output_1, Shape: [1, 16, 56, 56]
Tensor: /model.2/m.0/cv1/conv/Conv_output_0, Shape: [1, 16, 56, 56]
Tensor: /model.2/m.0/cv1/act/Sigmoid_output_0, Shape: [1, 16, 56, 56]
Tensor: /model.2/m.0/cv1/act/Mul_output_0, Shape: [1, 16, 56, 56]
Tensor: /model.2/m.0/cv2/conv/Conv_output_0, Shape: [1, 16, 56, 56]
Tensor: /model.2/m.0/cv2/act/Sigmoid_output_0, Shape: [1, 16, 56, 56]
Tensor: /model.2/m.0/cv2/act/Mul_output_0, Shape: [1, 16, 56, 56]
Tensor: /model.2/m.0/Add_output_0, Shape: [1, 16, 56, 56]
Tensor: /model.2/Concat_output_0, Shape: [1, 48, 56, 56]
Tensor: /model.2/cv2/conv/Conv_output_0, Shape: [1, 32, 56, 56]
Tensor: /model.2/cv2/act/Sigmoid_output_0, Shape: [1, 32, 56, 56]
Tensor: /model.2/cv2/act/Mul_output_0, Shape: [1, 32, 56, 56]
Tensor: /model.3/conv/Conv_output_0, Shape: [1, 64, 28, 28]
Tensor: /model.3/act/Sigmoid_output_0, Shape: [1, 64, 28, 28]
Tensor: /model.3/act/Mul_output_0, Shape: [1, 64, 28, 28]
Tensor: /model.4/cv1/conv/Conv_output_0, Shape: [1, 64, 28, 28]
Tensor: /model.4/cv1/act/Sigmoid_output_0, Shape: [1, 64, 28, 28]
Tensor: /model.4/cv1/act/Mul_output_0, Shape: [1, 64, 28, 28]
Tensor: /model.4/Split_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/Split_output_1, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.0/cv1/conv/Conv_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.0/cv1/act/Sigmoid_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.0/cv1/act/Mul_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.0/cv2/conv/Conv_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.0/cv2/act/Sigmoid_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.0/cv2/act/Mul_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.0/Add_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.1/cv1/conv/Conv_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.1/cv1/act/Sigmoid_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.1/cv1/act/Mul_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.1/cv2/conv/Conv_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.1/cv2/act/Sigmoid_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.1/cv2/act/Mul_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/m.1/Add_output_0, Shape: [1, 32, 28, 28]
Tensor: /model.4/Concat_output_0, Shape: [1, 128, 28, 28]
Tensor: /model.4/cv2/conv/Conv_output_0, Shape: [1, 64, 28, 28]
Tensor: /model.4/cv2/act/Sigmoid_output_0, Shape: [1, 64, 28, 28]
Tensor: /model.4/cv2/act/Mul_output_0, Shape: [1, 64, 28, 28]
Tensor: /model.5/conv/Conv_output_0, Shape: [1, 128, 14, 14]
Tensor: /model.5/act/Sigmoid_output_0, Shape: [1, 128, 14, 14]
Tensor: /model.5/act/Mul_output_0, Shape: [1, 128, 14, 14]
Tensor: /model.6/cv1/conv/Conv_output_0, Shape: [1, 128, 14, 14]
Tensor: /model.6/cv1/act/Sigmoid_output_0, Shape: [1, 128, 14, 14]
Tensor: /model.6/cv1/act/Mul_output_0, Shape: [1, 128, 14, 14]
Tensor: /model.6/Split_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/Split_output_1, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.0/cv1/conv/Conv_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.0/cv1/act/Sigmoid_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.0/cv1/act/Mul_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.0/cv2/conv/Conv_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.0/cv2/act/Sigmoid_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.0/cv2/act/Mul_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.0/Add_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.1/cv1/conv/Conv_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.1/cv1/act/Sigmoid_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.1/cv1/act/Mul_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.1/cv2/conv/Conv_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.1/cv2/act/Sigmoid_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.1/cv2/act/Mul_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/m.1/Add_output_0, Shape: [1, 64, 14, 14]
Tensor: /model.6/Concat_output_0, Shape: [1, 256, 14, 14]
Tensor: /model.6/cv2/conv/Conv_output_0, Shape: [1, 128, 14, 14]
Tensor: /model.6/cv2/act/Sigmoid_output_0, Shape: [1, 128, 14, 14]
Tensor: /model.6/cv2/act/Mul_output_0, Shape: [1, 128, 14, 14]
Tensor: /model.7/conv/Conv_output_0, Shape: [1, 256, 7, 7]
Tensor: /model.7/act/Sigmoid_output_0, Shape: [1, 256, 7, 7]
Tensor: /model.7/act/Mul_output_0, Shape: [1, 256, 7, 7]
Tensor: /model.8/cv1/conv/Conv_output_0, Shape: [1, 256, 7, 7]
