epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3827,1.87413,5.39432,3.85762,1.95531,0.00283,0.80952,0.08015,0.02016,0.00017,0.04762,0.00043,7e-05,2.07625,6.08319,3.73846,2.26855,4e-05,4e-05,4e-05
2,22.293,1.85069,5.44504,3.65529,1.95427,0.00283,0.80952,0.05761,0.01536,0.00033,0.09524,0.00051,7e-05,2.21243,4.88896,3.728,2.32315,9.901e-05,9.901e-05,9.901e-05
3,33.128,1.37232,3.90078,3.70237,1.66263,0.00267,0.7619,0.06867,0.02305,0.00067,0.19048,0.00588,0.00142,1.99299,3.91966,3.69047,2.12642,0.000156832,0.000156832,0.000156832
4,43.84,1.7182,4.2365,3.36314,1.78234,0.00317,0.90476,0.10076,0.04376,0.0005,0.14286,0.00749,0.00209,1.35943,3.74395,3.39415,1.57504,0.000213466,0.000213466,0.000213466
5,54.3992,1.67154,4.05881,3.45922,1.68415,0.0035,1,0.14077,0.06103,0.001,0.28571,0.00669,0.00125,1.25059,3.97334,3.33945,1.51076,0.000268912,0.000268912,0.000268912
6,64.9514,1.41042,3.56091,3.23051,1.51667,0.0035,1,0.18132,0.08917,0.00117,0.33333,0.02293,0.00479,1.2254,4.17885,3.18506,1.50184,0.00032317,0.00032317,0.00032317
7,75.5443,1.51209,3.32483,3.45435,1.68055,0.0035,1,0.23668,0.1344,0.00117,0.33333,0.01248,0.00502,1.11353,4.79186,3.07939,1.34173,0.00037624,0.00037624,0.00037624
8,86.5623,1.29156,3.17307,3.75152,1.44097,0.0035,1,0.22227,0.14398,0.00133,0.38095,0.01255,0.00447,1.0214,4.90556,3.08714,1.27406,0.000428122,0.000428122,0.000428122
9,97.1978,1.37127,3.40793,3.02856,1.48169,0.0035,1,0.15022,0.09861,0.00183,0.52381,0.02175,0.00629,1.12404,4.12003,3.14386,1.32306,0.000478816,0.000478816,0.000478816
10,107.68,1.50385,3.77788,4.09649,1.54547,0.0035,1,0.16598,0.09681,0.00133,0.38095,0.05069,0.02432,1.15161,3.73183,3.15169,1.39563,0.000528322,0.000528322,0.000528322
11,118.479,1.36078,2.93883,2.8513,1.38269,0.00333,0.95238,0.13432,0.07487,0.00083,0.2381,0.01196,0.00328,1.34311,4.74955,3.27036,1.65113,0.00057664,0.00057664,0.00057664
12,129.001,1.46298,3.37555,3.12117,1.50843,0.0035,1,0.15317,0.08677,0.00133,0.38095,0.01419,0.00281,1.29442,4.43654,3.25346,1.6953,0.00062377,0.00062377,0.00062377
13,139.624,1.32193,2.72568,2.99084,1.44165,0.00333,0.95238,0.12903,0.06764,0.00183,0.52381,0.02912,0.00396,1.10923,4.2429,3.12015,1.49518,0.000669712,0.000669712,0.000669712
14,150.282,1.44059,3.0952,2.7671,1.48581,0.0035,1,0.11471,0.06514,0.00133,0.38095,0.01027,0.00379,1.22613,4.42213,3.15362,1.63051,0.000714466,0.000714466,0.000714466
15,160.888,1.26585,2.99346,3.07664,1.30427,0.00333,0.95238,0.15497,0.06924,0.00133,0.38095,0.01245,0.00211,1.64934,5.90149,3.5179,2.17052,0.000758032,0.000758032,0.000758032
16,171.438,1.33848,2.95764,2.41611,1.42557,0.01348,0.90476,0.13542,0.06989,0.00133,0.38095,0.01483,0.00238,1.5558,8.19425,3.34698,2.12082,0.00080041,0.00080041,0.00080041
17,182.137,1.41677,2.96705,3.02113,1.52588,0.08597,0.28571,0.09446,0.04295,0.0015,0.42857,0.01067,0.00236,1.3805,9.63781,3.09156,2.07146,0.0008416,0.0008416,0.0008416
18,192.741,1.36085,2.8041,2.67789,1.4744,0.10178,0.66667,0.22439,0.12583,0.00167,0.47619,0.02166,0.00484,1.2141,7.22287,2.9324,1.88816,0.000881602,0.000881602,0.000881602
19,203.674,1.58177,3.01849,3.14038,1.52529,0.00978,1,0.28463,0.17409,0.00133,0.38095,0.01325,0.0023,1.27396,7.22261,2.97603,1.99089,0.000920416,0.000920416,0.000920416
20,214.224,1.4218,2.92074,2.35185,1.56838,0.0035,1,0.30102,0.16505,0.0015,0.42857,0.04968,0.00731,1.30106,6.93068,2.95071,1.91268,0.000958042,0.000958042,0.000958042
21,224.87,1.27185,2.81431,2.68282,1.35636,0.0035,1,0.29585,0.17925,0.00133,0.38095,0.03706,0.00881,1.37757,5.85191,3.06079,1.95813,0.00099448,0.00099448,0.00099448
22,235.523,1.38796,2.93366,2.54083,1.42547,0.0035,1,0.17567,0.10276,0.00117,0.33333,0.0115,0.00222,1.42005,6.31053,3.07848,2.03063,0.00102973,0.00102973,0.00102973
23,246.121,1.33622,3.0059,3.10295,1.4533,0.0035,1,0.11865,0.06304,0.00117,0.33333,0.00852,0.00125,1.30529,5.76409,3.07083,1.82927,0.00106379,0.00106379,0.00106379
24,256.745,1.30961,3.15692,2.83563,1.46833,0.01231,0.90476,0.10263,0.05656,0.00521,0.42857,0.01628,0.00361,1.33085,4.7733,2.98439,1.91628,0.00109667,0.00109667,0.00109667
25,267.515,1.52782,3.34468,2.80823,1.5744,0.20166,0.28571,0.18593,0.09574,0.00117,0.33333,0.01324,0.00307,1.38862,4.46515,2.9365,2.1244,0.00112835,0.00112835,0.00112835
26,278.116,1.4432,2.64888,2.68953,1.42068,0.24879,0.2381,0.25515,0.15421,0.0039,0.28571,0.00972,0.00287,1.32833,5.06602,2.92319,2.03316,0.00115885,0.00115885,0.00115885
27,288.762,1.63717,3.39034,2.69647,1.67105,0.27665,0.33333,0.2802,0.17045,0.05067,0.28571,0.02555,0.00431,1.33372,7.15026,3.21433,2.11455,0.00118816,0.00118816,0.00118816
28,299.272,1.44501,2.6556,2.45639,1.48846,0.29497,0.33333,0.2779,0.17101,0.29563,0.08177,0.0447,0.01232,1.51935,7.88808,2.98602,2.78342,0.00121628,0.00121628,0.00121628
29,309.677,1.43371,3.30868,2.61382,1.45863,0.29497,0.33333,0.2779,0.17101,0.29563,0.08177,0.0447,0.01232,1.51935,7.88808,2.98602,2.78342,0.00124322,0.00124322,0.00124322
30,320.16,1.37042,2.43747,2.73329,1.48149,0.22769,0.14286,0.18716,0.11808,0.01763,0.14286,0.00548,0.00068,1.50163,9.8776,2.87922,2.65306,0.00126896,0.00126896,0.00126896
31,330.799,1.53532,3.12166,2.95616,1.42249,0.25748,0.19048,0.15256,0.10324,0.02076,0.04762,0.00304,0.00054,1.37194,8.4613,3.07058,2.04569,0.00129352,0.00129352,0.00129352
32,341.317,1.17474,2.51495,2.16741,1.3851,0.2228,0.33333,0.18416,0.11832,0.01757,0.04762,0.0012,0.0006,1.36637,7.75851,3.14165,1.83462,0.00131689,0.00131689,0.00131689
33,351.879,1.34545,2.81782,2.53622,1.50013,0.2228,0.33333,0.18416,0.11832,0.01757,0.04762,0.0012,0.0006,1.36637,7.75851,3.14165,1.83462,0.00133907,0.00133907,0.00133907
34,362.549,1.43692,2.71695,3.51621,1.31138,0.19422,0.42857,0.14642,0.09177,0.03739,0.14286,0.00827,0.00198,1.5617,5.54052,3.57553,2.3824,0.0013466,0.0013466,0.0013466
35,373.23,1.26049,2.60312,2.32051,1.35432,0.12952,0.33333,0.13027,0.07439,0.01913,0.09524,0.00733,0.00125,1.738,5.65177,3.77369,2.93662,0.0013268,0.0013268,0.0013268
36,383.762,1.28319,2.55469,2.12436,1.34964,0.10271,0.38095,0.1086,0.04676,0.11679,0.04762,0.02338,0.0046,2.02731,6.18074,4.24042,3.18284,0.001307,0.001307,0.001307
37,394.388,1.32763,2.65667,2.27695,1.4245,0.10271,0.38095,0.1086,0.04676,0.11679,0.04762,0.02338,0.0046,2.02731,6.18074,4.24042,3.18284,0.0012872,0.0012872,0.0012872
38,405.04,1.25036,2.63733,2.47184,1.41596,0.15896,0.19048,0.173,0.06702,0,0,0,0,2.4843,6.50188,4.14493,3.57521,0.0012674,0.0012674,0.0012674
39,415.634,1.30799,3.11538,2.72614,1.47352,0.34932,0.19048,0.19446,0.10811,0.00203,0.04762,0.00057,0.00011,2.11565,6.45471,3.4041,2.57955,0.0012476,0.0012476,0.0012476
40,426.269,1.1882,2.60068,2.1292,1.32496,0.1433,0.28571,0.14394,0.08985,0,0,0,0,1.51755,5.95579,3.63641,1.93569,0.0012278,0.0012278,0.0012278
41,436.894,1.17857,2.30689,1.97549,1.29667,0.1433,0.28571,0.14394,0.08985,0,0,0,0,1.51755,5.95579,3.63641,1.93569,0.001208,0.001208,0.001208
42,447.612,1.25214,2.67984,2.26908,1.37944,0.14948,0.30153,0.13095,0.08009,0.01813,0.04762,0.00433,0.00043,1.66188,6.24763,3.53032,2.28894,0.0011882,0.0011882,0.0011882
43,458.374,1.18212,2.27648,1.87316,1.29121,0.10326,0.33333,0.13741,0.07981,0.26668,0.09524,0.04353,0.00496,1.54599,4.41101,3.52723,2.16377,0.0011684,0.0011684,0.0011684
44,469.049,1.16525,2.57128,2.1353,1.29426,0.17367,0.57143,0.19109,0.11877,0.16623,0.04762,0.03503,0.00468,1.32967,4.23593,3.4719,1.91763,0.0011486,0.0011486,0.0011486
45,479.723,1.08429,2.16203,2.29959,1.2282,0.17367,0.57143,0.19109,0.11877,0.16623,0.04762,0.03503,0.00468,1.32967,4.23593,3.4719,1.91763,0.0011288,0.0011288,0.0011288
46,490.42,1.24903,2.64226,2.31299,1.35076,0.18164,0.61905,0.2594,0.1597,0.04192,0.14286,0.01659,0.00463,1.31049,4.66714,3.40771,1.74568,0.001109,0.001109,0.001109
47,500.939,1.32831,2.87038,2.051,1.32716,0.19709,0.42857,0.18067,0.10286,0.06182,0.14286,0.02181,0.00405,1.42173,5.24487,3.33349,1.74053,0.0010892,0.0010892,0.0010892
48,511.677,1.20728,2.42051,1.70459,1.28635,0.21307,0.38095,0.16892,0.10162,0.10405,0.14286,0.03785,0.00708,1.2803,5.53588,2.91405,1.64881,0.0010694,0.0010694,0.0010694
49,522.285,1.24035,2.57946,2.13177,1.32066,0.21307,0.38095,0.16892,0.10162,0.10405,0.14286,0.03785,0.00708,1.2803,5.53588,2.91405,1.64881,0.0010496,0.0010496,0.0010496
50,532.869,1.19093,2.36266,1.85828,1.33337,0.24433,0.19048,0.16565,0.0932,0.01645,0.09524,0.01206,0.00265,1.25963,5.54124,2.73952,1.5877,0.0010298,0.0010298,0.0010298
51,543.449,1.16962,2.41156,2.12472,1.2451,0.1264,0.47619,0.10305,0.06974,0.01389,0.09524,0.01146,0.00202,1.26189,5.12,2.75345,1.67734,0.00101,0.00101,0.00101
52,554.079,1.19064,2.3019,1.96963,1.28248,0.12999,0.33333,0.11546,0.07545,0.01275,0.04762,0.01056,0.00216,1.12994,5.11427,2.52585,1.43691,0.0009902,0.0009902,0.0009902
53,564.692,1.15565,2.31176,2.14052,1.28843,0.12999,0.33333,0.11546,0.07545,0.01275,0.04762,0.01056,0.00216,1.12994,5.11427,2.52585,1.43691,0.0009704,0.0009704,0.0009704
