epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1957,2.6672,5.62981,12.4365,2.30201,0.00283,0.80952,0.04267,0.01476,0.00033,0.09524,0.00029,3e-05,1.71344,5.44724,3.59932,1.94535,4e-05,4e-05,4e-05
2,22.4414,2.04494,5.91254,9.08173,2.32734,0.00317,0.90476,0.09798,0.03168,0.00017,0.04762,9e-05,1e-05,1.76896,4.77442,3.76799,2.05613,9.01e-05,9.01e-05,9.01e-05
3,32.6269,2.10679,4.93946,5.01974,2.23363,0.00333,0.95238,0.12517,0.0398,0.0005,0.14286,0.00123,0.00014,1.86316,4.18134,3.66404,2.23741,0.00012832,0.00012832,0.00012832
4,42.7497,1.55725,4.48313,4.86597,1.96062,0.00333,0.95238,0.18047,0.07771,0.00083,0.2381,0.00196,0.00025,1.82035,4.37701,3.57866,2.27138,0.00015466,0.00015466,0.00015466
5,52.8588,1.20821,2.77284,23.1156,1.35328,0.0035,1,0.25306,0.11145,0.0005,0.14286,0.00062,0.00012,1.48469,4.13041,3.39322,1.9171,0.00016912,0.00016912,0.00016912
6,62.9938,1.75638,3.95825,4.3764,1.99602,0.0035,1,0.20457,0.09719,0.0005,0.14286,0.00076,0.00022,1.31762,3.92975,3.20813,1.72739,0.0001717,0.0001717,0.0001717
7,73.0985,1.39487,4.08597,5.54869,1.67056,0.0035,1,0.1991,0.09219,0.00083,0.2381,0.00109,0.00036,1.18203,3.70949,3.17591,1.63909,0.0001624,0.0001624,0.0001624
8,83.3757,1.55145,3.70776,5.44451,1.69259,0.0035,1,0.18239,0.08473,0.00117,0.33333,0.00127,0.00039,1.16777,3.67039,3.17525,1.624,0.00014122,0.00014122,0.00014122
9,93.4498,0.87957,2.34258,21.4718,1.052,0.0035,1,0.25878,0.12549,0.00117,0.33333,0.00718,0.00158,1.18553,3.53225,3.15796,1.61944,0.00010816,0.00010816,0.00010816
10,103.581,1.42691,3.65282,4.24626,1.64495,0.0035,1,0.27524,0.13618,0.001,0.28571,0.00897,0.0033,1.20797,3.46605,3.14525,1.60016,6.322e-05,6.322e-05,6.322e-05
