epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4553,1.84328,5.6495,3.83557,1.91759,0.003,0.85714,0.04304,0.01501,0.0005,0.14286,0.00042,5e-05,1.87716,5.14169,3.54596,2.01769,4e-05,4e-05,4e-05
2,21.612,1.8527,5.5649,3.51697,1.90913,0.00333,0.95238,0.11103,0.0445,0.00017,0.04762,0.02258,0.00226,1.82685,4.39728,3.661,2.03972,9.901e-05,9.901e-05,9.901e-05
3,31.8213,1.5941,4.18262,3.69548,1.67821,0.0035,1,0.2634,0.09019,0.00017,0.04762,0.00245,0.00024,1.79731,4.2406,3.547,2.05087,0.000156832,0.000156832,0.000156832
4,42.2698,1.63947,4.11789,3.19834,1.7303,0.00333,0.95238,0.26771,0.13591,0.0005,0.14286,0.00177,0.00058,1.38577,4.03652,3.2713,1.74025,0.000213466,0.000213466,0.000213466
5,53.8008,1.58497,4.01566,3.27712,1.68909,0.0035,1,0.33919,0.17702,0.001,0.28571,0.02704,0.00279,1.20327,3.92062,3.0014,1.6161,0.000268912,0.000268912,0.000268912
6,65.7703,1.49391,3.56842,3.10964,1.62403,0.0035,1,0.30098,0.18293,0.001,0.28571,0.03604,0.012,1.22053,3.75121,2.96138,1.62198,0.00032317,0.00032317,0.00032317
7,78.0552,1.51247,3.45157,3.34202,1.70819,0.0035,1,0.25336,0.14566,0.00117,0.33333,0.02194,0.00523,1.26424,5.33474,3.04217,1.64651,0.00037624,0.00037624,0.00037624
8,88.2082,1.23169,3.02638,3.57033,1.43074,0.0035,1,0.35829,0.23332,0.00133,0.38095,0.02097,0.00321,1.13835,5.79111,2.98719,1.52885,0.000428122,0.000428122,0.000428122
9,98.6428,1.41114,3.37057,2.92956,1.60035,0.00333,0.95238,0.30514,0.17343,0.001,0.28571,0.04156,0.00763,1.24066,5.04216,3.06455,1.59211,0.000478816,0.000478816,0.000478816
10,108.816,1.38952,3.69833,4.46588,1.5742,0.00333,0.95238,0.26128,0.1493,0.00117,0.33333,0.03641,0.01562,1.33643,4.38345,3.19727,1.7115,0.000528322,0.000528322,0.000528322
11,119.514,1.37542,3.04832,2.62775,1.46312,0.0035,1,0.12748,0.07517,0.00117,0.33333,0.03193,0.00802,1.28507,4.73034,3.1926,1.65582,0.00057664,0.00057664,0.00057664
12,129.929,1.54218,3.27549,2.9392,1.56647,0.00317,0.90476,0.12827,0.06959,0.001,0.28571,0.02816,0.00876,1.3857,4.7134,3.27457,1.71931,0.00062377,0.00062377,0.00062377
13,140.222,1.33616,2.6839,2.93014,1.46678,0.00333,0.95238,0.12354,0.0578,0.00183,0.52381,0.04704,0.00765,1.69995,5.00137,3.2996,2.06786,0.000669712,0.000669712,0.000669712
14,150.253,1.38464,2.93281,2.6107,1.5019,0.00333,0.95238,0.126,0.05635,0.00083,0.2381,0.01039,0.00127,1.44466,5.38142,3.23053,1.81645,0.000714466,0.000714466,0.000714466
15,160.396,1.23777,3.01539,3.05077,1.30873,0.00333,0.95238,0.21301,0.08417,0.00083,0.2381,0.00851,0.0013,1.34096,5.16935,3.14648,1.69408,0.000758032,0.000758032,0.000758032
16,170.568,1.29328,2.80675,2.19168,1.45562,0.00317,0.90476,0.21708,0.1001,0.00067,0.19048,0.00368,0.00075,1.28679,4.96031,3.00218,1.74968,0.00080041,0.00080041,0.00080041
17,180.679,1.34266,2.89247,2.91024,1.53093,0.13887,0.71429,0.14367,0.07682,0.00067,0.19048,0.00366,0.00055,1.39313,4.74493,2.80052,1.82836,0.0008416,0.0008416,0.0008416
18,190.591,1.25613,2.65102,2.47178,1.40975,0.18981,0.71429,0.28687,0.15477,0.01978,0.09524,0.01256,0.00182,1.37467,4.53141,2.70131,1.86399,0.000881602,0.000881602,0.000881602
19,200.738,1.50584,3.22735,2.97773,1.53423,0.1717,0.34571,0.18525,0.08861,0.23678,0.06076,0.0424,0.01269,1.44894,4.81277,2.91129,1.92931,0.000920416,0.000920416,0.000920416
20,210.505,1.38579,2.85001,2.34929,1.53721,0.11828,0.28571,0.13088,0.07248,0.14369,0.09524,0.02708,0.00815,1.24476,4.95159,2.77246,1.76753,0.000958042,0.000958042,0.000958042
21,220.46,1.30132,2.63108,2.50338,1.34724,0.10506,0.38095,0.1191,0.07102,0.08242,0.09524,0.03676,0.00882,1.1694,4.93661,2.83237,1.59683,0.00099448,0.00099448,0.00099448
22,230.781,1.44824,3.0591,2.47886,1.47201,0.1244,0.60894,0.12858,0.074,0.03991,0.2381,0.01203,0.00357,1.2497,5.15836,2.99078,1.74093,0.00102973,0.00102973,0.00102973
23,240.852,1.28465,3.05312,3.16489,1.40593,0.1321,0.44227,0.12825,0.05555,0.02543,0.14286,0.00912,0.0026,1.32948,6.56117,3.3854,1.81722,0.00106379,0.00106379,0.00106379
24,250.733,1.2594,2.88298,2.67978,1.41732,0.12808,0.33333,0.14524,0.06988,0.02545,0.2381,0.01412,0.00276,1.34301,6.83106,3.17414,1.79061,0.00109667,0.00109667,0.00109667
25,260.829,1.37208,3.12105,2.627,1.44482,0.13566,0.38095,0.15185,0.08805,0.02131,0.2381,0.00877,0.00239,1.34941,6.56592,3.02412,1.83756,0.00112835,0.00112835,0.00112835
26,270.758,1.30371,2.53432,2.54542,1.34956,0.18691,0.28571,0.17266,0.08899,0.12999,0.04762,0.01704,0.00228,1.2768,6.55578,2.96009,1.84992,0.00115885,0.00115885,0.00115885
