epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0819,1.84328,5.6495,3.83557,1.91759,0.003,0.85714,0.04304,0.01501,0.0005,0.14286,0.00042,5e-05,1.87716,5.14169,3.54596,2.01769,4e-05,4e-05,4e-05
2,21.578,1.8527,5.5649,3.51697,1.90913,0.00333,0.95238,0.11103,0.0445,0.00017,0.04762,0.02258,0.00226,1.82685,4.39728,3.661,2.03972,9.901e-05,9.901e-05,9.901e-05
3,33.5084,1.59411,4.18262,3.69548,1.67822,0.0035,1,0.2634,0.092,0.00017,0.04762,0.00245,0.00024,1.79729,4.24059,3.547,2.05087,0.000156832,0.000156832,0.000156832
4,44.7344,1.63952,4.11789,3.19839,1.73033,0.00333,0.95238,0.26771,0.13591,0.0005,0.14286,0.00177,0.00058,1.38558,4.03658,3.27109,1.74021,0.000213466,0.000213466,0.000213466
5,55.4011,1.58478,4.01586,3.27711,1.68912,0.0035,1,0.33918,0.17701,0.001,0.28571,0.02704,0.00279,1.20163,3.90925,3.00364,1.61286,0.000268912,0.000268912,0.000268912
6,66.3894,1.49907,3.5699,3.10825,1.62457,0.0035,1,0.29949,0.18297,0.001,0.28571,0.03571,0.01126,1.22472,3.71409,2.95073,1.62769,0.00032317,0.00032317,0.00032317
7,77.4288,1.52147,3.45621,3.3412,1.70944,0.0035,1,0.2558,0.15144,0.00117,0.33333,0.03857,0.00612,1.22683,5.2713,3.04571,1.65576,0.00037624,0.00037624,0.00037624
8,88.0885,1.2234,3.05694,3.55972,1.42394,0.0035,1,0.34292,0.21632,0.00133,0.38095,0.01993,0.00298,1.17315,5.84169,3.00582,1.53602,0.000428122,0.000428122,0.000428122
9,98.9455,1.43907,3.4029,2.92113,1.62521,0.0035,1,0.2954,0.16615,0.0015,0.42857,0.02298,0.00428,1.24548,6.38552,3.05121,1.58659,0.000478816,0.000478816,0.000478816
10,109.494,1.37857,3.98477,4.02059,1.53061,0.0035,1,0.23396,0.12215,0.00117,0.33333,0.03089,0.00613,1.22671,5.81198,3.08167,1.53623,0.000528322,0.000528322,0.000528322
11,120.283,1.41606,3.07478,2.64962,1.47172,0.00317,0.90476,0.15453,0.07175,0.002,0.57143,0.05213,0.02009,1.53081,5.03092,3.24985,1.81055,0.00057664,0.00057664,0.00057664
12,130.915,1.51126,3.24611,3.02141,1.55478,0.00333,0.95238,0.16359,0.06278,0.00133,0.38095,0.04562,0.0049,1.51161,6.05233,3.25864,1.7786,0.00062377,0.00062377,0.00062377
13,141.71,1.23822,2.81835,2.79838,1.42697,0.0035,1,0.136,0.05893,0.0015,0.42857,0.02544,0.00431,1.34515,4.85657,3.16779,1.89691,0.000669712,0.000669712,0.000669712
14,152.34,1.30665,3.00925,2.56075,1.46955,0.0035,1,0.17011,0.07888,0.00167,0.47619,0.02703,0.00718,1.53173,6.78072,3.05259,2.00503,0.000714466,0.000714466,0.000714466
15,163.054,1.31233,2.99271,2.89507,1.38073,0.05033,0.71429,0.16015,0.08694,0.001,0.28571,0.01657,0.00343,1.39559,7.2322,2.96394,1.8425,0.000758032,0.000758032,0.000758032
16,173.633,1.27579,2.81679,2.22359,1.48955,0.01184,1,0.18182,0.07355,0.00395,0.33333,0.05089,0.0127,1.43571,5.34285,2.92297,1.88878,0.00080041,0.00080041,0.00080041
17,184.286,1.35655,2.84282,2.78324,1.6336,0.04768,0.66667,0.20914,0.1117,0.00138,0.2381,0.00581,0.00136,1.55416,5.38443,3.26088,1.99126,0.0008416,0.0008416,0.0008416
18,195.018,1.28271,2.81454,2.44445,1.43903,0.15911,0.52381,0.24132,0.14766,0.00117,0.33333,0.00652,0.00126,1.69434,5.43057,3.22433,2.12841,0.000881602,0.000881602,0.000881602
19,205.904,1.34458,2.99622,2.93338,1.36656,0.20501,0.28571,0.23305,0.11759,0.1522,0.04762,0.05276,0.01502,1.56443,5.77263,3.10186,1.9497,0.000920416,0.000920416,0.000920416
20,216.586,1.29364,2.71783,2.2473,1.51339,0.19413,0.66667,0.24169,0.13698,0.15264,0.2381,0.06195,0.01086,1.21638,4.85764,2.63946,1.63482,0.000958042,0.000958042,0.000958042
21,227.43,1.30724,2.72129,2.47138,1.38382,0.21778,0.33333,0.18007,0.09464,0.13934,0.19048,0.0636,0.01704,1.19241,4.50459,2.53834,1.6679,0.00099448,0.00099448,0.00099448
